"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Uzbekistan","2017","Total","Male","37","Estimate - de jure","Final figure, complete","2019","228027","1"
"Uzbekistan","2017","Total","Male","38","Estimate - de jure","Final figure, complete","2019","219821","1"
"Uzbekistan","2017","Total","Male","39","Estimate - de jure","Final figure, complete","2019","208774","1"
"Uzbekistan","2017","Total","Male","40","Estimate - de jure","Final figure, complete","2019","206998","1"
"Uzbekistan","2017","Total","Male","40 - 44","Estimate - de jure","Final figure, complete","2019","992699","1"
"Uzbekistan","2017","Total","Male","41","Estimate - de jure","Final figure, complete","2019","204837","1"
"Uzbekistan","2017","Total","Male","42","Estimate - de jure","Final figure, complete","2019","195021","1"
"Uzbekistan","2017","Total","Male","43","Estimate - de jure","Final figure, complete","2019","192038","1"
"Uzbekistan","2017","Total","Male","44","Estimate - de jure","Final figure, complete","2019","193805","1"
"Uzbekistan","2017","Total","Male","45","Estimate - de jure","Final figure, complete","2019","190035","1"
"Uzbekistan","2017","Total","Male","45 - 49","Estimate - de jure","Final figure, complete","2019","854306","1"
"Uzbekistan","2017","Total","Male","46","Estimate - de jure","Final figure, complete","2019","178922","1"
"Uzbekistan","2017","Total","Male","47","Estimate - de jure","Final figure, complete","2019","166384","1"
"Uzbekistan","2017","Total","Male","48","Estimate - de jure","Final figure, complete","2019","161438","1"
"Uzbekistan","2017","Total","Male","49","Estimate - de jure","Final figure, complete","2019","157527","1"
"Uzbekistan","2017","Total","Male","50","Estimate - de jure","Final figure, complete","2019","153483","1"
"Uzbekistan","2017","Total","Male","50 - 54","Estimate - de jure","Final figure, complete","2019","761203","1"
"Uzbekistan","2017","Total","Male","51","Estimate - de jure","Final figure, complete","2019","153062","1"
"Uzbekistan","2017","Total","Male","52","Estimate - de jure","Final figure, complete","2019","152324","1"
"Uzbekistan","2017","Total","Male","53","Estimate - de jure","Final figure, complete","2019","151796","1"
