"Country or Area","Year","Sex","Age","Value","Value Footnotes"
"United States of America","2016","Female","Total","164048590","1,2"
"United States of America","2016","Female","0","1939667","1,2"
"United States of America","2016","Female","0 - 4","9740184","1,2"
"United States of America","2016","Female","1","1953850","1,2"
"United States of America","2016","Female","1 - 4","7800517","1,2"
"United States of America","2016","Female","2","1949132","1,2"
"United States of America","2016","Female","3","1947408","1,2"
"United States of America","2016","Female","4","1950127","1,2"
"United States of America","2016","Female","5","1970381","1,2"
"United States of America","2016","Female","5 - 9","9999876","1,2"
"United States of America","2016","Female","6","1973241","1,2"
"United States of America","2016","Female","7","1974326","1,2"
"United States of America","2016","Female","8","2037098","1,2"
"United States of America","2016","Female","9","2044830","1,2"
"United States of America","2016","Female","10","2027418","1,2"
"United States of America","2016","Female","10 - 14","10099501","1,2"
"United States of America","2016","Female","11","2022731","1,2"
"United States of America","2016","Female","12","2028493","1,2"
"United States of America","2016","Female","13","2014600","1,2"
"United States of America","2016","Female","14","2006259","1,2"
"United States of America","2016","Female","15","2054841","1,2"
"United States of America","2016","Female","15 - 19","10328153","1,2"
"United States of America","2016","Female","16","2084083","1,2"
"United States of America","2016","Female","17","2054585","1,2"
"United States of America","2016","Female","18","2060801","1,2"
"United States of America","2016","Female","19","2073843","1,2"
"United States of America","2016","Female","20","2088855","1,2"
"United States of America","2016","Female","20 - 24","10889963","1,2"
"United States of America","2016","Female","21","2133830","1,2"
"United States of America","2016","Female","22","2178862","1,2"
"United States of America","2016","Female","23","2210629","1,2"
"United States of America","2016","Female","24","2277787","1,2"
"United States of America","2016","Female","25","2332540","1,2"
"United States of America","2016","Female","25 - 29","11259410","1,2"
"United States of America","2016","Female","26","2333494","1,2"
"United States of America","2016","Female","27","2243248","1,2"
"United States of America","2016","Female","28","2193389","1,2"
"United States of America","2016","Female","29","2156739","1,2"
"United States of America","2016","Female","30","2167435","1,2"
"United States of America","2016","Female","30 - 34","10818095","1,2"
"United States of America","2016","Female","31","2190224","1,2"
"United States of America","2016","Female","32","2128886","1,2"
"United States of America","2016","Female","33","2164564","1,2"
"United States of America","2016","Female","34","2166986","1,2"
"United States of America","2016","Female","35","2146149","1,2"
"United States of America","2016","Female","35 - 39","10397463","1,2"
"United States of America","2016","Female","36","2179618","1,2"
"United States of America","2016","Female","37","2054543","1,2"
"United States of America","2016","Female","38","2016225","1,2"
"United States of America","2016","Female","39","2000928","1,2"
"United States of America","2016","Female","40","1941028","1,2"
"United States of America","2016","Female","40 - 44","9919930","1,2"
"United States of America","2016","Female","41","1996568","1,2"
"United States of America","2016","Female","42","1941928","1,2"
"United States of America","2016","Female","43","1977320","1,2"
"United States of America","2016","Female","44","2063086","1,2"
"United States of America","2016","Female","45","2181652","1,2"
"United States of America","2016","Female","45 - 49","10571668","1,2"
"United States of America","2016","Female","46","2199725","1,2"
"United States of America","2016","Female","47","2088622","1,2"
"United States of America","2016","Female","48","2046863","1,2"
"United States of America","2016","Female","49","2054806","1,2"
"United States of America","2016","Female","50","2091455","1,2"
"United States of America","2016","Female","50 - 54","11108872","1,2"
"United States of America","2016","Female","51","2217966","1,2"
"United States of America","2016","Female","52","2266189","1,2"
"United States of America","2016","Female","53","2267892","1,2"
"United States of America","2016","Female","54","2265370","1,2"
"United States of America","2016","Female","55","2297597","1,2"
"United States of America","2016","Female","55 - 59","11296702","1,2"
"United States of America","2016","Female","56","2311661","1,2"
"United States of America","2016","Female","57","2241986","1,2"
"United States of America","2016","Female","58","2232174","1,2"
"United States of America","2016","Female","59","2213284","1,2"
"United States of America","2016","Female","60","2139267","1,2"
"United States of America","2016","Female","60 - 64","10167404","1,2"
"United States of America","2016","Female","61","2122487","1,2"
"United States of America","2016","Female","62","2044245","1,2"
"United States of America","2016","Female","63","1968870","1,2"
"United States of America","2016","Female","64","1892535","1,2"
"United States of America","2016","Female","65","1839731","1,2"
"United States of America","2016","Female","65 - 69","8883164","1,2"
"United States of America","2016","Female","66","1794239","1,2"
"United States of America","2016","Female","67","1741373","1,2"
"United States of America","2016","Female","68","1719694","1,2"
"United States of America","2016","Female","69","1788127","1,2"
"United States of America","2016","Female","70","1325617","1,2"
"United States of America","2016","Female","70 - 74","6356057","1,2"
"United States of America","2016","Female","71","1310054","1,2"
"United States of America","2016","Female","72","1276783","1,2"
"United States of America","2016","Female","73","1304712","1,2"
"United States of America","2016","Female","74","1138891","1,2"
"United States of America","2016","Female","75","1043735","1,2"
"United States of America","2016","Female","75 - 79","4644276","1,2"
"United States of America","2016","Female","76","984932","1,2"
"United States of America","2016","Female","77","920921","1,2"
"United States of America","2016","Female","78","882532","1,2"
"United States of America","2016","Female","79","812156","1,2"
"United States of America","2016","Female","80","773313","1,2"
"United States of America","2016","Female","80 - 84","3412384","1,2"
"United States of America","2016","Female","81","740254","1,2"
"United States of America","2016","Female","82","660414","1,2"
"United States of America","2016","Female","83","636001","1,2"
"United States of America","2016","Female","84","602402","1,2"
"United States of America","2016","Female","85","568206","1,2"
"United States of America","2016","Female","85 - 89","2421936","1,2"
"United States of America","2016","Female","86","538964","1,2"
"United States of America","2016","Female","87","478562","1,2"
"United States of America","2016","Female","88","441432","1,2"
"United States of America","2016","Female","89","394772","1,2"
"United States of America","2016","Female","90","343398","1,2"
"United States of America","2016","Female","90 - 94","1277995","1,2"
"United States of America","2016","Female","91","302700","1,2"
"United States of America","2016","Female","92","254853","1,2"
"United States of America","2016","Female","93","207836","1,2"
"United States of America","2016","Female","94","169208","1,2"
"United States of America","2016","Female","95","133509","1,2"
"United States of America","2016","Female","95 - 99","390003","1,2"
"United States of America","2016","Female","96","99554","1,2"
"United States of America","2016","Female","97","70050","1,2"
"United States of America","2016","Female","98","52311","1,2"
"United States of America","2016","Female","99","34579","1,2"
"United States of America","2016","Female","100 +","65554","1,2"
"United States of America","2015","Both Sexes","Total","321418820","1,2"
"United States of America","2015","Both Sexes","0","3978038","1,2"
"United States of America","2015","Both Sexes","0 - 4","19907281","1,2"
"United States of America","2015","Both Sexes","1","3968564","1,2"
"United States of America","2015","Both Sexes","1 - 4","15929243","1,2"
"United States of America","2015","Both Sexes","2","3966583","1,2"
"United States of America","2015","Both Sexes","3","3974061","1,2"
"United States of America","2015","Both Sexes","4","4020035","1,2"
"United States of America","2015","Both Sexes","5","4018158","1,2"
"United States of America","2015","Both Sexes","5 - 9","20487176","1,2"
"United States of America","2015","Both Sexes","6","4019207","1,2"
"United States of America","2015","Both Sexes","7","4148360","1,2"
"United States of America","2015","Both Sexes","8","4167887","1,2"
"United States of America","2015","Both Sexes","9","4133564","1,2"
"United States of America","2015","Both Sexes","10","4121289","1,2"
"United States of America","2015","Both Sexes","10 - 14","20622330","1,2"
"United States of America","2015","Both Sexes","11","4130328","1,2"
"United States of America","2015","Both Sexes","12","4101021","1,2"
"United States of America","2015","Both Sexes","13","4084306","1,2"
"United States of America","2015","Both Sexes","14","4185386","1,2"
"United States of America","2015","Both Sexes","15","4249742","1,2"
"United States of America","2015","Both Sexes","15 - 19","21108903","1,2"
"United States of America","2015","Both Sexes","16","4184296","1,2"
"United States of America","2015","Both Sexes","17","4194286","1,2"
"United States of America","2015","Both Sexes","18","4217995","1,2"
"United States of America","2015","Both Sexes","19","4262584","1,2"
"United States of America","2015","Both Sexes","20","4363440","1,2"
"United States of America","2015","Both Sexes","20 - 24","22739313","1,2"
"United States of America","2015","Both Sexes","21","4456790","1,2"
"United States of America","2015","Both Sexes","22","4529472","1,2"
"United States of America","2015","Both Sexes","23","4652266","1,2"
"United States of America","2015","Both Sexes","24","4737345","1,2"
"United States of America","2015","Both Sexes","25","4729564","1,2"
"United States of America","2015","Both Sexes","25 - 29","22461554","1,2"
"United States of America","2015","Both Sexes","26","4544416","1,2"
"United States of America","2015","Both Sexes","27","4439766","1,2"
"United States of America","2015","Both Sexes","28","4364669","1,2"
"United States of America","2015","Both Sexes","29","4383139","1,2"
"United States of America","2015","Both Sexes","30","4417209","1,2"
"United States of America","2015","Both Sexes","30 - 34","21675648","1,2"
"United States of America","2015","Both Sexes","31","4278233","1,2"
"United States of America","2015","Both Sexes","32","4343614","1,2"
"United States of America","2015","Both Sexes","33","4341754","1,2"
"United States of America","2015","Both Sexes","34","4294838","1,2"
"United States of America","2015","Both Sexes","35","4379404","1,2"
"United States of America","2015","Both Sexes","35 - 39","20374585","1,2"
"United States of America","2015","Both Sexes","36","4108775","1,2"
"United States of America","2015","Both Sexes","37","4028403","1,2"
"United States of America","2015","Both Sexes","38","3987141","1,2"
"United States of America","2015","Both Sexes","39","3870862","1,2"
"United States of America","2015","Both Sexes","40","3989839","1,2"
"United States of America","2015","Both Sexes","40 - 44","20215198","1,2"
"United States of America","2015","Both Sexes","41","3865228","1,2"
"United States of America","2015","Both Sexes","42","3924258","1,2"
"United States of America","2015","Both Sexes","43","4100708","1,2"
"United States of America","2015","Both Sexes","44","4335165","1,2"
"United States of America","2015","Both Sexes","45","4389345","1,2"
"United States of America","2015","Both Sexes","45 - 49","20853844","1,2"
"United States of America","2015","Both Sexes","46","4160573","1,2"
"United States of America","2015","Both Sexes","47","4073685","1,2"
"United States of America","2015","Both Sexes","48","4077689","1,2"
"United States of America","2015","Both Sexes","49","4152552","1,2"
"United States of America","2015","Both Sexes","50","4400288","1,2"
"United States of America","2015","Both Sexes","50 - 54","22334317","1,2"
"United States of America","2015","Both Sexes","51","4479664","1,2"
"United States of America","2015","Both Sexes","52","4474344","1,2"
"United States of America","2015","Both Sexes","53","4463494","1,2"
"United States of America","2015","Both Sexes","54","4516527","1,2"
"United States of America","2015","Both Sexes","55","4553385","1,2"
"United States of America","2015","Both Sexes","55 - 59","21807942","1,2"
"United States of America","2015","Both Sexes","56","4399120","1,2"
"United States of America","2015","Both Sexes","57","4371245","1,2"
"United States of America","2015","Both Sexes","58","4320522","1,2"
"United States of America","2015","Both Sexes","59","4163670","1,2"
"United States of America","2015","Both Sexes","60","4125792","1,2"
"United States of America","2015","Both Sexes","60 - 64","19069877","1,2"
"United States of America","2015","Both Sexes","61","3954601","1,2"
"United States of America","2015","Both Sexes","62","3801935","1,2"
"United States of America","2015","Both Sexes","63","3651393","1,2"
"United States of America","2015","Both Sexes","64","3536156","1,2"
"United States of America","2015","Both Sexes","65","3450043","1,2"
"United States of America","2015","Both Sexes","65 - 69","16067468","1,2"
"United States of America","2015","Both Sexes","66","3344134","1,2"
"United States of America","2015","Both Sexes","67","3304187","1,2"
"United States of America","2015","Both Sexes","68","3436357","1,2"
"United States of America","2015","Both Sexes","69","2532747","1,2"
"United States of America","2015","Both Sexes","70","2492490","1,2"
"United States of America","2015","Both Sexes","70 - 74","11483049","1,2"
"United States of America","2015","Both Sexes","71","2421191","1,2"
"United States of America","2015","Both Sexes","72","2469605","1,2"
"United States of America","2015","Both Sexes","73","2146052","1,2"
"United States of America","2015","Both Sexes","74","1953711","1,2"
"United States of America","2015","Both Sexes","75","1839823","1,2"
"United States of America","2015","Both Sexes","75 - 79","8123833","1,2"
"United States of America","2015","Both Sexes","76","1722041","1,2"
"United States of America","2015","Both Sexes","77","1639085","1,2"
"United States of America","2015","Both Sexes","78","1500813","1,2"
"United States of America","2015","Both Sexes","79","1422071","1,2"
"United States of America","2015","Both Sexes","80","1351196","1,2"
"United States of America","2015","Both Sexes","80 - 84","5799341","1,2"
"United States of America","2015","Both Sexes","81","1201044","1,2"
"United States of America","2015","Both Sexes","82","1148948","1,2"
"United States of America","2015","Both Sexes","83","1082562","1,2"
"United States of America","2015","Both Sexes","84","1015591","1,2"
"United States of America","2015","Both Sexes","85","957023","1,2"
"United States of America","2015","Both Sexes","85 - 89","3864345","1,2"
"United States of America","2015","Both Sexes","86","846081","1,2"
"United States of America","2015","Both Sexes","87","774639","1,2"
"United States of America","2015","Both Sexes","88","689755","1,2"
"United States of America","2015","Both Sexes","89","596847","1,2"
"United States of America","2015","Both Sexes","90","523034","1,2"
"United States of America","2015","Both Sexes","90 - 94","1850935","1,2"
"United States of America","2015","Both Sexes","91","440318","1,2"
"United States of America","2015","Both Sexes","92","360659","1,2"
"United States of America","2015","Both Sexes","93","293806","1,2"
"United States of America","2015","Both Sexes","94","233118","1,2"
"United States of America","2015","Both Sexes","95","174011","1,2"
"United States of America","2015","Both Sexes","95 - 99","494907","1,2"
"United States of America","2015","Both Sexes","96","122887","1,2"
"United States of America","2015","Both Sexes","97","92377","1,2"
"United States of America","2015","Both Sexes","98","61991","1,2"
"United States of America","2015","Both Sexes","99","43641","1,2"
"United States of America","2015","Both Sexes","100 +","76974","1,2"
"United States of America","2015","Male","Total","158229297","1,2"
"United States of America","2015","Male","0","2035134","1,2"
"United States of America","2015","Male","0 - 4","10177601","1,2"
"United States of America","2015","Male","1","2029295","1,2"
"United States of America","2015","Male","1 - 4","8142467","1,2"
"United States of America","2015","Male","2","2026604","1,2"
"United States of America","2015","Male","3","2030644","1,2"
"United States of America","2015","Male","4","2055924","1,2"
"United States of America","2015","Male","5","2050848","1,2"
"United States of America","2015","Male","5 - 9","10459132","1,2"
"United States of America","2015","Male","6","2050663","1,2"
"United States of America","2015","Male","7","2117118","1,2"
"United States of America","2015","Male","8","2128825","1,2"
"United States of America","2015","Male","9","2111678","1,2"
"United States of America","2015","Male","10","2103943","1,2"
"United States of America","2015","Male","10 - 14","10520388","1,2"
"United States of America","2015","Male","11","2106742","1,2"
"United States of America","2015","Male","12","2090780","1,2"
"United States of America","2015","Male","13","2082704","1,2"
"United States of America","2015","Male","14","2136219","1,2"
"United States of America","2015","Male","15","2172989","1,2"
"United States of America","2015","Male","15 - 19","10797867","1,2"
"United States of America","2015","Male","16","2139271","1,2"
"United States of America","2015","Male","17","2145174","1,2"
"United States of America","2015","Male","18","2156041","1,2"
"United States of America","2015","Male","19","2184392","1,2"
"United States of America","2015","Male","20","2240373","1,2"
"United States of America","2015","Male","20 - 24","11667854","1,2"
"United States of America","2015","Male","21","2290006","1,2"
"United States of America","2015","Male","22","2331696","1,2"
"United States of America","2015","Male","23","2387842","1,2"
"United States of America","2015","Male","24","2417937","1,2"
"United States of America","2015","Male","25","2407515","1,2"
"United States of America","2015","Male","25 - 29","11409399","1,2"
"United States of America","2015","Male","26","2310983","1,2"
"United States of America","2015","Male","27","2254603","1,2"
"United States of America","2015","Male","28","2214738","1,2"
"United States of America","2015","Male","29","2221560","1,2"
"United States of America","2015","Male","30","2231463","1,2"
"United States of America","2015","Male","30 - 34","10889739","1,2"
"United States of America","2015","Male","31","2152765","1,2"
"United States of America","2015","Male","32","2181163","1,2"
"United States of America","2015","Male","33","2175631","1,2"
"United States of America","2015","Male","34","2148717","1,2"
"United States of America","2015","Male","35","2199270","1,2"
"United States of America","2015","Male","35 - 39","10173424","1,2"
"United States of America","2015","Male","36","2053297","1,2"
"United States of America","2015","Male","37","2010463","1,2"
